Location,numberOfLayersPicked
801-01-A-01,379
801-03-A-01,543
801-04-A-01,1489
801-05-A-01,843
801-06-A-01,1505
801-07-A-01,569
801-08-A-01,1530
801-10-A-01,3277
801-11-A-01,406
801-12-A-01,1823
801-13-A-01,107
801-15-A-01,1025
801-17-A-01,268
801-22-A-01,2349
801-24-A-01,1782
801-26-A-01,1234
801-28-A-01,1881
801-30-A-01,1537
801-31-A-01,2063
801-33-A-01,1805
801-35-A-01,510
801-37-A-01,741
801-42-A-01,3630
801-43-A-01,1279
801-44-A-01,942
801-46-A-01,1037
801-48-A-01,2423
801-50-A-01,2222
801-52-A-01,2577
801-54-A-01,3157
801-56-A-01,1527
801-58-A-01,1575
801-60-A-01,470
801-74-A-01,98
801-76-A-01,746
801-78-A-01,1163
801-84-A-01,1614
801-86-A-01,1198
801-88-A-01,393
801-90-A-01,1233
801-92-A-01,890
801-95-A-01,205
801-96-A-01,1614
801-97-A-01,415
801-100-A-01,917
801-102-A-01,756
801-103-A-01,887
801-104-A-01,1418
801-106-A-01,1047
801-112-A-01,588
801-114-A-01,1212
801-118-A-01,479
801-134-A-01,1906
801-140-A-01,1099
801-142-A-01,1635
801-143-A-01,592
801-155-A-01,590
801-159-A-01,366
801-165-A-01,364
801-167-A-01,440
801-170-A-01,2886
801-171-A-01,192
801-172-A-01,1961
801-173-A-01,264
801-174-A-01,2001
801-175-A-01,1842
801-176-A-01,994
801-177-A-01,18
801-179-A-01,498
801-180-A-01,105
801-182-A-01,2624
801-185-A-01,532
801-187-A-01,602
801-188-A-01,172
LAY401,1189
LAY402,110
LAY403,1146
LAY404,744
LAY405,469
LAY406,1147
LAY407,1261
LAY410,300
LAY413,214
LAY418,921
LAY419,640
LAY420,373
LAY421,511
LAY423,141
LAY425,1237
LAY426,120
LAY427,649
LAY428,380
LAY429,539
LAY430,1605
LAY434,440
LAY436,430
LAY438,1457
LAY439,834
LAY441,369
LAY445,749
LAY448,359
LAY449,966
LAY450,582
LAY452,1007
LAY453,119
LAY457,60
LAY458,45
LAY459,1651
LAY461,1092
LAY454,350
801-152-A-01,1012
801-136-A-01,566
801-156-A-01,601
801-36-A-01,2083
801-105-A-01,318
LAY460,249
801-39-A-01,287
801-169-A-01,1628
801-183-A-01,NULL
801-87-A-01,234
801-151-A-01,415
801-166-A-01,1341
801-145-A-01,14
801-72-A-01,1948
801-144-A-01,726
801-45-A-01,238
801-138-A-01,NULL
801-21-A-01,234
801-146-A-01,522
LAY409,299
LAY444,27
LAY451,102
801-14-A-01,1224
LAY435,60
801-130-A-01,613
801-161-A-01,255
801-160-A-01,1290
801-141-A-01,73
801-168-A-01,17
LAY443,171
LAY414,1252
801-18-A-01,1572
801-110-A-01,181
801-128-A-01,52
LAY412,366
LAY456,346
801-164-A-01,241
LAY462,NULL
LAY463,NULL
LAY464,NULL
LAY465,NULL
LAY466,NULL
LAY467,NULL
LAY468,NULL
LAY469,NULL
LAY470,NULL
LAY471,NULL
801-82-A-01,377
801-23-A-01,451
801-101-A-01,737
801-16-A-01,796
801-19-A-01,99
801-89-A-01,17
801-40-A-01,1678
801-181-A-01,69
801-94-A-01,219
801-49-A-01,NULL
801-51-A-01,NULL
801-53-A-01,NULL
801-55-A-01,NULL
801-57-A-01,NULL
801-59-A-01,NULL
801-61-A-01,NULL
801-63-A-01,NULL
801-64-A-01,NULL
801-65-A-01,NULL
801-66-A-01,NULL
801-67-A-01,NULL
801-68-A-01,NULL
801-69-A-01,NULL
801-70-A-01,NULL
801-71-A-01,NULL
801-73-A-01,NULL
801-75-A-01,NULL
801-77-A-01,NULL
801-79-A-01,NULL
801-81-A-01,NULL
801-83-A-01,NULL
801-107-A-01,NULL
801-109-A-01,NULL
801-111-A-01,NULL
801-113-A-01,NULL
801-115-A-01,NULL
801-117-A-01,NULL
801-119-A-01,NULL
801-120-A-01,NULL
801-121-A-01,NULL
801-122-A-01,NULL
801-123-A-01,NULL
801-124-A-01,NULL
801-125-A-01,NULL
801-126-A-01,NULL
801-127-A-01,NULL
801-129-A-01,NULL
801-131-A-01,NULL
801-133-A-01,NULL
801-135-A-01,NULL
801-137-A-01,NULL
801-139-A-01,NULL
801-153-A-01,11
801-178-A-01,723
801-184-A-01,236
801-02-A-01,1719
801-163-A-01,239
801-80-A-01,39
LAY424,36
801-09-A-01,520
801-47-A-01,247
LAY416,503
801-158-A-01,593
801-98-A-01,226
LAY415,597
LAY417,247
801-91-A-01,62
801-162-A-01,802
801-25-A-01,297
801-85-A-01,149
LAY455,30
801-93-A-01,127
801-154-A-01,592
LAY408,365
LAY431,684
LAY446,30
801-62-A-01,1882
LAY432,15
801-116-A-01,1613
801-108-A-01,1197
LAY433,95
801-150-A-01,414
801-38-A-01,1354
801-41-A-01,1368
801-147-A-01,123
801-29-A-01,503
801-132-A-01,1
801-148-A-01,363
801-149-A-01,64
801-32-A-01,721
LAY411,434
LAY442,23
LAY447,1060
801-34-A-01,664
LAY422,211
801-27-A-01,NULL
LAY437,111
801-20-A-01,1446
LAY440,65
801-186-A-01,383
801-99-A-01,NULL
801-157-A-01,428
